"Reference","Value","Note","Qty","Link"
"J2","AGS Switch","","1","https://www.aliexpress.com/item/1005008869945965.html"
"J5","34P 0.5mm","","1","https://www.lcsc.com/product-detail/C3168072.html"
"J6","GT-USB-7016D","","1","https://www.lcsc.com/product-detail/C22383817.html"
"L1","1uH","","1","https://www.lcsc.com/product-detail/C7433091.html"
"Q1","SSM3J338R,LF","","1","https://www.lcsc.com/product-detail/C146352.html"
"R1","1M","","1",""
"R2,R13,R15,R25","10K","","4",""
"R3,R4","20K","","2",""
"R5,R6,R8,R12,R14,R26,R35","100K","","7",""
"R7","150","","1",""
"R9,R10","5K","","2",""
"R11","732K","","1",""
"R16","1K","","1",""
"R17","3.3K","","1",""
"R18","6.8K","","1",""
"R19,R20","5.1K","","2",""
"R21,R22,R23,R24","330","","4",""
"R27,R41","2.2K","","2",""
"R36","270","","1",""
"R38,R39","47","","2",""
"R40","15","","1",""
"SW2,SW3,SW4,SW5,SW8,SW9","SKRRAAE010","","6","https://www.lcsc.com/product-detail/C97437.html"
"SW6,SW7,SW12","SKRBACE010","","3","https://www.lcsc.com/product-detail/C139789.html"
"SW10","L","","1","https://s.click.aliexpress.com/e/_c4dWhNMV"
"SW11","R","","1","https://s.click.aliexpress.com/e/_c4dWhNMV"
"U1","AGB CPU","Harvest from AGB","1",""
"U2","AGB RAM","Harvest from AGB","1",""
"U3","AP2112K-2.5","","1","https://www.lcsc.com/product-detail/C176945.html"
"U4","AP2112K-3.3","","1","https://www.lcsc.com/product-detail/C51118.html"
"U5","TLV7011","","1","https://www.lcsc.com/product-detail/C193688.html"
"U7","MCP73831T-2ACI/OT","","1","https://www.lcsc.com/product-detail/C424093.html"
"U8","","Cart slot and switch, you need to buy seperately ","1","https://www.aliexpress.com/item/1005012359623738.html"
"U9","TPS61023DRLR","","1","https://www.lcsc.com/product-detail/C919459.html"
"U10","APX803L-35SA-7","","1","https://www.lcsc.com/product-detail/C6466184.html"
"U11","GT-BTP25003-0750A-002A","","1","https://www.lcsc.com/product-detail/C22464782.html"
"U14","LM4875MM/NOPB","","1","https://www.lcsc.com/product-detail/C2865417.html"
"VR1","R_Potentiometer_Small","DS Lite volume slider also works","1","https://s.click.aliexpress.com/e/_c3cvyM0v"
"X1","Crystal","Harvest from AGB","1",""
